--- Starting Multi-Seed Training for Seeds: [8009] ---

=======================================================
  Training Seed 8009 on Device: cuda
=======================================================
Seed 8009 | Epoch 05/1220 | Avg R: 0.0078 | Val Loss: 0.0022 | KL: 0.0063 | LinErr: 0.907 | YawErr: 0.685 | |A|: 0.113 | R>0: 79.61% | Done: 0.37% | Sigma: 0.370 | Steps: 819200 | Time: 60.2s
Seed 8009 | Epoch 10/1220 | Avg R: 0.0113 | Val Loss: 0.0011 | KL: 0.0071 | LinErr: 0.867 | YawErr: 0.626 | |A|: 0.116 | R>0: 95.21% | Done: 0.10% | Sigma: 0.367 | Steps: 1638400 | Time: 114.4s
Seed 8009 | Epoch 15/1220 | Avg R: 0.0134 | Val Loss: 0.0009 | KL: 0.0073 | LinErr: 0.844 | YawErr: 0.573 | |A|: 0.116 | R>0: 99.18% | Done: 0.01% | Sigma: 0.360 | Steps: 2457600 | Time: 169.3s
Seed 8009 | Epoch 20/1220 | Avg R: 0.0148 | Val Loss: 0.0008 | KL: 0.0079 | LinErr: 0.821 | YawErr: 0.523 | |A|: 0.119 | R>0: 99.70% | Done: 0.00% | Sigma: 0.353 | Steps: 3276800 | Time: 224.4s
Seed 8009 | Epoch 25/1220 | Avg R: 0.0157 | Val Loss: 0.0007 | KL: 0.0088 | LinErr: 0.803 | YawErr: 0.496 | |A|: 0.119 | R>0: 99.85% | Done: 0.00% | Sigma: 0.346 | Steps: 4096000 | Time: 279.7s
Seed 8009 | Epoch 30/1220 | Avg R: 0.0165 | Val Loss: 0.0007 | KL: 0.0094 | LinErr: 0.790 | YawErr: 0.473 | |A|: 0.121 | R>0: 99.88% | Done: 0.00% | Sigma: 0.339 | Steps: 4915200 | Time: 335.3s
Seed 8009 | Epoch 35/1220 | Avg R: 0.0171 | Val Loss: 0.0006 | KL: 0.0103 | LinErr: 0.780 | YawErr: 0.455 | |A|: 0.124 | R>0: 99.91% | Done: 0.00% | Sigma: 0.332 | Steps: 5734400 | Time: 391.4s
Seed 8009 | Epoch 40/1220 | Avg R: 0.0177 | Val Loss: 0.0007 | KL: 0.0107 | LinErr: 0.771 | YawErr: 0.446 | |A|: 0.124 | R>0: 99.93% | Done: 0.00% | Sigma: 0.326 | Steps: 6553600 | Time: 446.9s
Seed 8009 | Epoch 45/1220 | Avg R: 0.0180 | Val Loss: 0.0006 | KL: 0.0116 | LinErr: 0.764 | YawErr: 0.434 | |A|: 0.125 | R>0: 99.92% | Done: 0.00% | Sigma: 0.322 | Steps: 7372800 | Time: 503.2s
Seed 8009 | Epoch 50/1220 | Avg R: 0.0184 | Val Loss: 0.0006 | KL: 0.0119 | LinErr: 0.753 | YawErr: 0.433 | |A|: 0.128 | R>0: 99.90% | Done: 0.00% | Sigma: 0.318 | Steps: 8192000 | Time: 559.7s
Seed 8009 | Epoch 55/1220 | Avg R: 0.0156 | Val Loss: 0.0005 | KL: 0.0135 | LinErr: 0.859 | YawErr: 0.554 | |A|: 0.139 | R>0: 99.55% | Done: 0.00% | Sigma: 0.314 | Steps: 9011200 | Time: 616.3s
