--- Starting Multi-Seed Training for Seeds: [9016] ---

=======================================================
  Training Seed 9016 on Device: cuda
=======================================================
Seed 9016 | Epoch 05/1220 | Avg R: 0.0060 | Val Loss: 0.0014 | KL: 0.0061 | LinErr: 0.901 | YawErr: 0.690 | |A|: 0.116 | R>0: 68.85% | Done: 0.30% | Sigma: 0.377 | Steps: 819200 | Time: 61.3s
Seed 9016 | Epoch 10/1220 | Avg R: 0.0079 | Val Loss: 0.0011 | KL: 0.0092 | LinErr: 0.874 | YawErr: 0.638 | |A|: 0.117 | R>0: 77.64% | Done: 0.32% | Sigma: 0.375 | Steps: 1638400 | Time: 116.8s
Seed 9016 | Epoch 15/1220 | Avg R: 0.0128 | Val Loss: 0.0009 | KL: 0.0076 | LinErr: 0.846 | YawErr: 0.580 | |A|: 0.118 | R>0: 98.35% | Done: 0.02% | Sigma: 0.367 | Steps: 2457600 | Time: 173.2s
Seed 9016 | Epoch 20/1220 | Avg R: 0.0145 | Val Loss: 0.0007 | KL: 0.0080 | LinErr: 0.827 | YawErr: 0.535 | |A|: 0.121 | R>0: 99.50% | Done: 0.00% | Sigma: 0.357 | Steps: 3276800 | Time: 229.2s
Seed 9016 | Epoch 25/1220 | Avg R: 0.0155 | Val Loss: 0.0007 | KL: 0.0091 | LinErr: 0.808 | YawErr: 0.506 | |A|: 0.123 | R>0: 99.75% | Done: 0.00% | Sigma: 0.349 | Steps: 4096000 | Time: 285.8s
Seed 9016 | Epoch 30/1220 | Avg R: 0.0163 | Val Loss: 0.0007 | KL: 0.0098 | LinErr: 0.795 | YawErr: 0.481 | |A|: 0.124 | R>0: 99.83% | Done: 0.00% | Sigma: 0.340 | Steps: 4915200 | Time: 342.3s
Seed 9016 | Epoch 35/1220 | Avg R: 0.0169 | Val Loss: 0.0007 | KL: 0.0110 | LinErr: 0.787 | YawErr: 0.477 | |A|: 0.125 | R>0: 99.84% | Done: 0.00% | Sigma: 0.333 | Steps: 5734400 | Time: 398.9s
Seed 9016 | Epoch 40/1220 | Avg R: 0.0175 | Val Loss: 0.0006 | KL: 0.0112 | LinErr: 0.778 | YawErr: 0.451 | |A|: 0.128 | R>0: 99.86% | Done: 0.00% | Sigma: 0.328 | Steps: 6553600 | Time: 455.2s
Seed 9016 | Epoch 45/1220 | Avg R: 0.0179 | Val Loss: 0.0006 | KL: 0.0118 | LinErr: 0.768 | YawErr: 0.450 | |A|: 0.134 | R>0: 99.83% | Done: 0.00% | Sigma: 0.322 | Steps: 7372800 | Time: 511.6s
Seed 9016 | Epoch 50/1220 | Avg R: 0.0183 | Val Loss: 0.0006 | KL: 0.0127 | LinErr: 0.762 | YawErr: 0.433 | |A|: 0.143 | R>0: 99.84% | Done: 0.00% | Sigma: 0.317 | Steps: 8192000 | Time: 568.4s
Seed 9016 | Epoch 55/1220 | Avg R: 0.0162 | Val Loss: 0.0005 | KL: 0.0136 | LinErr: 0.844 | YawErr: 0.527 | |A|: 0.151 | R>0: 99.49% | Done: 0.00% | Sigma: 0.312 | Steps: 9011200 | Time: 625.5s
Seed 9016 | Epoch 60/1220 | Avg R: 0.0161 | Val Loss: 0.0005 | KL: 0.0144 | LinErr: 0.848 | YawErr: 0.541 | |A|: 0.159 | R>0: 99.50% | Done: 0.00% | Sigma: 0.308 | Steps: 9830400 | Time: 682.6s
Seed 9016 | Epoch 65/1220 | Avg R: 0.0165 | Val Loss: 0.0005 | KL: 0.0150 | LinErr: 0.840 | YawErr: 0.537 | |A|: 0.168 | R>0: 99.60% | Done: 0.00% | Sigma: 0.304 | Steps: 10649600 | Time: 739.9s
Seed 9016 | Epoch 70/1220 | Avg R: 0.0171 | Val Loss: 0.0005 | KL: 0.0152 | LinErr: 0.824 | YawErr: 0.517 | |A|: 0.177 | R>0: 99.59% | Done: 0.00% | Sigma: 0.302 | Steps: 11468800 | Time: 796.4s
Seed 9016 | Epoch 75/1220 | Avg R: 0.0176 | Val Loss: 0.0006 | KL: 0.0159 | LinErr: 0.807 | YawErr: 0.502 | |A|: 0.180 | R>0: 99.57% | Done: 0.00% | Sigma: 0.300 | Steps: 12288000 | Time: 853.2s
Seed 9016 | Epoch 80/1220 | Avg R: 0.0181 | Val Loss: 0.0005 | KL: 0.0155 | LinErr: 0.793 | YawErr: 0.468 | |A|: 0.179 | R>0: 99.56% | Done: 0.00% | Sigma: 0.298 | Steps: 13107200 | Time: 910.7s
Seed 9016 | Epoch 85/1220 | Avg R: 0.0183 | Val Loss: 0.0005 | KL: 0.0151 | LinErr: 0.785 | YawErr: 0.468 | |A|: 0.184 | R>0: 99.49% | Done: 0.00% | Sigma: 0.297 | Steps: 13926400 | Time: 970.3s
Seed 9016 | Epoch 90/1220 | Avg R: 0.0187 | Val Loss: 0.0005 | KL: 0.0157 | LinErr: 0.776 | YawErr: 0.443 | |A|: 0.183 | R>0: 99.60% | Done: 0.00% | Sigma: 0.297 | Steps: 14745600 | Time: 1030.3s
Seed 9016 | Epoch 95/1220 | Avg R: 0.0190 | Val Loss: 0.0006 | KL: 0.0159 | LinErr: 0.765 | YawErr: 0.432 | |A|: 0.191 | R>0: 99.55% | Done: 0.00% | Sigma: 0.296 | Steps: 15564800 | Time: 1087.1s
Seed 9016 | Epoch 100/1220 | Avg R: 0.0191 | Val Loss: 0.0005 | KL: 0.0170 | LinErr: 0.759 | YawErr: 0.435 | |A|: 0.192 | R>0: 99.43% | Done: 0.00% | Sigma: 0.296 | Steps: 16384000 | Time: 1143.8s
Seed 9016 | Epoch 105/1220 | Avg R: 0.0170 | Val Loss: 0.0005 | KL: 0.0174 | LinErr: 0.841 | YawErr: 0.506 | |A|: 0.204 | R>0: 99.08% | Done: 0.00% | Sigma: 0.294 | Steps: 17203200 | Time: 1200.6s
Seed 9016 | Epoch 110/1220 | Avg R: 0.0167 | Val Loss: 0.0005 | KL: 0.0193 | LinErr: 0.845 | YawErr: 0.526 | |A|: 0.214 | R>0: 98.88% | Done: 0.00% | Sigma: 0.294 | Steps: 18022400 | Time: 1257.4s
Seed 9016 | Epoch 115/1220 | Avg R: 0.0170 | Val Loss: 0.0005 | KL: 0.0190 | LinErr: 0.838 | YawErr: 0.528 | |A|: 0.220 | R>0: 98.95% | Done: 0.00% | Sigma: 0.293 | Steps: 18841600 | Time: 1314.3s
Seed 9016 | Epoch 120/1220 | Avg R: 0.0173 | Val Loss: 0.0005 | KL: 0.0186 | LinErr: 0.821 | YawErr: 0.524 | |A|: 0.227 | R>0: 98.77% | Done: 0.00% | Sigma: 0.293 | Steps: 19660800 | Time: 1371.5s
Seed 9016 | Epoch 125/1220 | Avg R: 0.0179 | Val Loss: 0.0005 | KL: 0.0181 | LinErr: 0.803 | YawErr: 0.479 | |A|: 0.235 | R>0: 98.89% | Done: 0.00% | Sigma: 0.294 | Steps: 20480000 | Time: 1428.0s
Seed 9016 | Epoch 130/1220 | Avg R: 0.0180 | Val Loss: 0.0005 | KL: 0.0194 | LinErr: 0.789 | YawErr: 0.469 | |A|: 0.237 | R>0: 98.71% | Done: 0.00% | Sigma: 0.294 | Steps: 21299200 | Time: 1484.8s
Seed 9016 | Epoch 135/1220 | Avg R: 0.0181 | Val Loss: 0.0005 | KL: 0.0192 | LinErr: 0.781 | YawErr: 0.453 | |A|: 0.238 | R>0: 98.65% | Done: 0.01% | Sigma: 0.295 | Steps: 22118400 | Time: 1541.5s
Seed 9016 | Epoch 140/1220 | Avg R: 0.0184 | Val Loss: 0.0006 | KL: 0.0194 | LinErr: 0.777 | YawErr: 0.436 | |A|: 0.240 | R>0: 98.67% | Done: 0.01% | Sigma: 0.295 | Steps: 22937600 | Time: 1598.4s
Seed 9016 | Epoch 145/1220 | Avg R: 0.0187 | Val Loss: 0.0006 | KL: 0.0184 | LinErr: 0.766 | YawErr: 0.433 | |A|: 0.237 | R>0: 98.83% | Done: 0.00% | Sigma: 0.296 | Steps: 23756800 | Time: 1655.1s
Seed 9016 | Epoch 150/1220 | Avg R: 0.0189 | Val Loss: 0.0005 | KL: 0.0176 | LinErr: 0.759 | YawErr: 0.426 | |A|: 0.237 | R>0: 98.91% | Done: 0.00% | Sigma: 0.298 | Steps: 24576000 | Time: 1711.8s
Seed 9016 | Epoch 155/1220 | Avg R: 0.0169 | Val Loss: 0.0004 | KL: 0.0195 | LinErr: 0.834 | YawErr: 0.533 | |A|: 0.250 | R>0: 98.06% | Done: 0.00% | Sigma: 0.298 | Steps: 25395200 | Time: 1768.5s
Seed 9016 | Epoch 160/1220 | Avg R: 0.0168 | Val Loss: 0.0004 | KL: 0.0191 | LinErr: 0.839 | YawErr: 0.504 | |A|: 0.261 | R>0: 98.01% | Done: 0.00% | Sigma: 0.298 | Steps: 26214400 | Time: 1826.0s
Seed 9016 | Epoch 165/1220 | Avg R: 0.0171 | Val Loss: 0.0005 | KL: 0.0207 | LinErr: 0.831 | YawErr: 0.512 | |A|: 0.266 | R>0: 98.07% | Done: 0.00% | Sigma: 0.298 | Steps: 27033600 | Time: 1883.7s
Seed 9016 | Epoch 170/1220 | Avg R: 0.0174 | Val Loss: 0.0005 | KL: 0.0192 | LinErr: 0.820 | YawErr: 0.483 | |A|: 0.271 | R>0: 98.24% | Done: 0.00% | Sigma: 0.298 | Steps: 27852800 | Time: 1940.5s
