--- Starting Multi-Seed Training for Seeds: [9006] ---

=======================================================
  Training Seed 9006 on Device: cuda
=======================================================
Seed 9006 | Epoch 120/1220 | Avg R: 0.0176 | Val Loss: 0.0006 | KL: 0.0182 | LinErr: 0.818 | YawErr: 0.479 | |A|: 0.223 | R>0: 99.21% | Done: 0.00% | Sigma: 0.296 | Steps: 19660800 | Time: 1361.5s
Seed 9006 | Epoch 125/1220 | Avg R: 0.0181 | Val Loss: 0.0005 | KL: 0.0183 | LinErr: 0.799 | YawErr: 0.461 | |A|: 0.231 | R>0: 98.95% | Done: 0.00% | Sigma: 0.296 | Steps: 20480000 | Time: 1417.3s
Seed 9006 | Epoch 130/1220 | Avg R: 0.0183 | Val Loss: 0.0005 | KL: 0.0173 | LinErr: 0.788 | YawErr: 0.444 | |A|: 0.234 | R>0: 98.97% | Done: 0.00% | Sigma: 0.297 | Steps: 21299200 | Time: 1474.5s
Seed 9006 | Epoch 135/1220 | Avg R: 0.0185 | Val Loss: 0.0005 | KL: 0.0178 | LinErr: 0.779 | YawErr: 0.437 | |A|: 0.237 | R>0: 98.95% | Done: 0.00% | Sigma: 0.297 | Steps: 22118400 | Time: 1531.2s
Seed 9006 | Epoch 140/1220 | Avg R: 0.0186 | Val Loss: 0.0005 | KL: 0.0180 | LinErr: 0.768 | YawErr: 0.426 | |A|: 0.240 | R>0: 98.79% | Done: 0.01% | Sigma: 0.298 | Steps: 22937600 | Time: 1587.7s
Seed 9006 | Epoch 145/1220 | Avg R: 0.0188 | Val Loss: 0.0005 | KL: 0.0180 | LinErr: 0.763 | YawErr: 0.444 | |A|: 0.232 | R>0: 98.72% | Done: 0.01% | Sigma: 0.299 | Steps: 23756800 | Time: 1644.2s
Seed 9006 | Epoch 150/1220 | Avg R: 0.0192 | Val Loss: 0.0005 | KL: 0.0172 | LinErr: 0.755 | YawErr: 0.395 | |A|: 0.230 | R>0: 99.12% | Done: 0.00% | Sigma: 0.299 | Steps: 24576000 | Time: 1699.9s
Seed 9006 | Epoch 155/1220 | Avg R: 0.0161 | Val Loss: 0.0005 | KL: 0.0196 | LinErr: 0.850 | YawErr: 0.566 | |A|: 0.243 | R>0: 98.26% | Done: 0.00% | Sigma: 0.299 | Steps: 25395200 | Time: 1756.4s
Seed 9006 | Epoch 160/1220 | Avg R: 0.0165 | Val Loss: 0.0005 | KL: 0.0197 | LinErr: 0.852 | YawErr: 0.512 | |A|: 0.253 | R>0: 98.37% | Done: 0.00% | Sigma: 0.299 | Steps: 26214400 | Time: 1812.8s
Seed 9006 | Epoch 165/1220 | Avg R: 0.0169 | Val Loss: 0.0005 | KL: 0.0191 | LinErr: 0.835 | YawErr: 0.522 | |A|: 0.256 | R>0: 98.28% | Done: 0.00% | Sigma: 0.299 | Steps: 27033600 | Time: 1869.9s
Seed 9006 | Epoch 170/1220 | Avg R: 0.0175 | Val Loss: 0.0005 | KL: 0.0205 | LinErr: 0.812 | YawErr: 0.477 | |A|: 0.257 | R>0: 98.49% | Done: 0.01% | Sigma: 0.299 | Steps: 27852800 | Time: 1926.9s
Seed 9006 | Epoch 175/1220 | Avg R: 0.0177 | Val Loss: 0.0005 | KL: 0.0197 | LinErr: 0.798 | YawErr: 0.481 | |A|: 0.259 | R>0: 98.19% | Done: 0.01% | Sigma: 0.300 | Steps: 28672000 | Time: 1983.3s
Seed 9006 | Epoch 180/1220 | Avg R: 0.0182 | Val Loss: 0.0005 | KL: 0.0182 | LinErr: 0.786 | YawErr: 0.442 | |A|: 0.258 | R>0: 98.49% | Done: 0.00% | Sigma: 0.301 | Steps: 29491200 | Time: 2040.0s
Seed 9006 | Epoch 185/1220 | Avg R: 0.0184 | Val Loss: 0.0004 | KL: 0.0193 | LinErr: 0.780 | YawErr: 0.439 | |A|: 0.255 | R>0: 98.47% | Done: 0.00% | Sigma: 0.301 | Steps: 30310400 | Time: 2096.1s
