--- Starting Multi-Seed Training for Seeds: [9033] ---

=======================================================
  Training Seed 9033 on Device: cuda
=======================================================
Seed 9033 | Epoch 05/1220 | Avg R: 0.0069 | Val Loss: 0.0029 | KL: 0.0064 | LinErr: 0.892 | YawErr: 0.691 | |A|: 0.115 | R>0: 74.15% | Done: 0.33% | Sigma: 0.375 | Steps: 819200 | Time: 61.5s
Seed 9033 | Epoch 10/1220 | Avg R: 0.0111 | Val Loss: 0.0012 | KL: 0.0071 | LinErr: 0.855 | YawErr: 0.635 | |A|: 0.119 | R>0: 95.49% | Done: 0.06% | Sigma: 0.372 | Steps: 1638400 | Time: 117.2s
Seed 9033 | Epoch 15/1220 | Avg R: 0.0133 | Val Loss: 0.0009 | KL: 0.0070 | LinErr: 0.827 | YawErr: 0.585 | |A|: 0.121 | R>0: 98.97% | Done: 0.01% | Sigma: 0.364 | Steps: 2457600 | Time: 173.4s
Seed 9033 | Epoch 20/1220 | Avg R: 0.0146 | Val Loss: 0.0009 | KL: 0.0079 | LinErr: 0.812 | YawErr: 0.536 | |A|: 0.122 | R>0: 99.57% | Done: 0.00% | Sigma: 0.356 | Steps: 3276800 | Time: 229.3s
Seed 9033 | Epoch 25/1220 | Avg R: 0.0155 | Val Loss: 0.0007 | KL: 0.0085 | LinErr: 0.796 | YawErr: 0.502 | |A|: 0.124 | R>0: 99.69% | Done: 0.00% | Sigma: 0.349 | Steps: 4096000 | Time: 285.4s
Seed 9033 | Epoch 30/1220 | Avg R: 0.0163 | Val Loss: 0.0008 | KL: 0.0091 | LinErr: 0.785 | YawErr: 0.483 | |A|: 0.124 | R>0: 99.83% | Done: 0.00% | Sigma: 0.342 | Steps: 4915200 | Time: 341.6s
Seed 9033 | Epoch 35/1220 | Avg R: 0.0168 | Val Loss: 0.0007 | KL: 0.0097 | LinErr: 0.776 | YawErr: 0.468 | |A|: 0.124 | R>0: 99.85% | Done: 0.00% | Sigma: 0.336 | Steps: 5734400 | Time: 397.8s
Seed 9033 | Epoch 40/1220 | Avg R: 0.0174 | Val Loss: 0.0007 | KL: 0.0110 | LinErr: 0.765 | YawErr: 0.455 | |A|: 0.129 | R>0: 99.87% | Done: 0.00% | Sigma: 0.330 | Steps: 6553600 | Time: 453.9s
Seed 9033 | Epoch 45/1220 | Avg R: 0.0178 | Val Loss: 0.0006 | KL: 0.0115 | LinErr: 0.760 | YawErr: 0.452 | |A|: 0.134 | R>0: 99.82% | Done: 0.00% | Sigma: 0.325 | Steps: 7372800 | Time: 510.1s
Seed 9033 | Epoch 50/1220 | Avg R: 0.0183 | Val Loss: 0.0006 | KL: 0.0115 | LinErr: 0.752 | YawErr: 0.427 | |A|: 0.137 | R>0: 99.88% | Done: 0.00% | Sigma: 0.320 | Steps: 8192000 | Time: 566.7s
Seed 9033 | Epoch 55/1220 | Avg R: 0.0152 | Val Loss: 0.0005 | KL: 0.0135 | LinErr: 0.857 | YawErr: 0.564 | |A|: 0.148 | R>0: 99.50% | Done: 0.01% | Sigma: 0.317 | Steps: 9011200 | Time: 623.3s
Seed 9033 | Epoch 60/1220 | Avg R: 0.0158 | Val Loss: 0.0006 | KL: 0.0141 | LinErr: 0.845 | YawErr: 0.563 | |A|: 0.156 | R>0: 99.54% | Done: 0.00% | Sigma: 0.311 | Steps: 9830400 | Time: 680.2s
Seed 9033 | Epoch 65/1220 | Avg R: 0.0166 | Val Loss: 0.0005 | KL: 0.0147 | LinErr: 0.822 | YawErr: 0.539 | |A|: 0.159 | R>0: 99.62% | Done: 0.01% | Sigma: 0.308 | Steps: 10649600 | Time: 736.6s
Seed 9033 | Epoch 70/1220 | Avg R: 0.0172 | Val Loss: 0.0005 | KL: 0.0143 | LinErr: 0.808 | YawErr: 0.516 | |A|: 0.162 | R>0: 99.65% | Done: 0.01% | Sigma: 0.304 | Steps: 11468800 | Time: 793.2s
Seed 9033 | Epoch 75/1220 | Avg R: 0.0177 | Val Loss: 0.0005 | KL: 0.0152 | LinErr: 0.795 | YawErr: 0.485 | |A|: 0.165 | R>0: 99.67% | Done: 0.00% | Sigma: 0.301 | Steps: 12288000 | Time: 850.0s
Seed 9033 | Epoch 80/1220 | Avg R: 0.0182 | Val Loss: 0.0006 | KL: 0.0151 | LinErr: 0.783 | YawErr: 0.461 | |A|: 0.171 | R>0: 99.66% | Done: 0.00% | Sigma: 0.299 | Steps: 13107200 | Time: 906.6s
Seed 9033 | Epoch 85/1220 | Avg R: 0.0185 | Val Loss: 0.0006 | KL: 0.0152 | LinErr: 0.774 | YawErr: 0.445 | |A|: 0.179 | R>0: 99.65% | Done: 0.00% | Sigma: 0.298 | Steps: 13926400 | Time: 963.7s
Seed 9033 | Epoch 90/1220 | Avg R: 0.0187 | Val Loss: 0.0006 | KL: 0.0177 | LinErr: 0.763 | YawErr: 0.445 | |A|: 0.186 | R>0: 99.56% | Done: 0.00% | Sigma: 0.298 | Steps: 14745600 | Time: 1019.8s
Seed 9033 | Epoch 95/1220 | Avg R: 0.0189 | Val Loss: 0.0005 | KL: 0.0159 | LinErr: 0.758 | YawErr: 0.444 | |A|: 0.194 | R>0: 99.47% | Done: 0.00% | Sigma: 0.299 | Steps: 15564800 | Time: 1076.7s
