--- Starting Multi-Seed Training for Seeds: [13079] ---

=======================================================
  Training Seed 13079 on Device: cuda
=======================================================
Seed 13079 | Epoch 05/760 | Avg R: 0.0056 | Val Loss: 0.0082 | KL: 0.0149 | LinErr: 0.941 | YawErr: 0.727 | |A|: 0.118 | R>0: 71.10% | Done: 0.00% | Sigma: 0.370 | Steps: 1310720 | Time: 14.9s
Seed 13079 | Epoch 10/760 | Avg R: 0.0043 | Val Loss: 0.0066 | KL: 0.0138 | LinErr: 0.933 | YawErr: 0.791 | |A|: 0.156 | R>0: 56.20% | Done: 0.00% | Sigma: 0.372 | Steps: 2621440 | Time: 23.3s
Seed 13079 | Epoch 15/760 | Avg R: 0.0033 | Val Loss: 0.0093 | KL: 0.0203 | LinErr: 0.954 | YawErr: 0.775 | |A|: 0.204 | R>0: 45.35% | Done: 0.31% | Sigma: 0.374 | Steps: 3932160 | Time: 31.3s
Seed 13079 | Epoch 20/760 | Avg R: 0.0011 | Val Loss: 0.0078 | KL: 0.0185 | LinErr: 0.991 | YawErr: 0.795 | |A|: 0.325 | R>0: 18.50% | Done: 0.81% | Sigma: 0.374 | Steps: 5242880 | Time: 39.7s
Seed 13079 | Epoch 25/760 | Avg R: 0.0004 | Val Loss: 0.0082 | KL: 0.0193 | LinErr: 1.032 | YawErr: 0.839 | |A|: 0.398 | R>0: 6.09% | Done: 1.52% | Sigma: 0.375 | Steps: 6553600 | Time: 47.7s
Seed 13079 | Epoch 30/760 | Avg R: 0.0010 | Val Loss: 0.0014 | KL: 0.0118 | LinErr: 1.060 | YawErr: 0.769 | |A|: 0.344 | R>0: 15.43% | Done: 5.04% | Sigma: 0.381 | Steps: 7864320 | Time: 59.4s
Seed 13079 | Epoch 35/760 | Avg R: 0.0012 | Val Loss: 0.0008 | KL: 0.0129 | LinErr: 1.056 | YawErr: 0.803 | |A|: 0.349 | R>0: 19.28% | Done: 2.67% | Sigma: 0.392 | Steps: 9175040 | Time: 70.9s
Seed 13079 | Epoch 40/760 | Avg R: 0.0009 | Val Loss: 0.0003 | KL: 0.0116 | LinErr: 1.060 | YawErr: 0.819 | |A|: 0.336 | R>0: 14.09% | Done: 1.95% | Sigma: 0.400 | Steps: 10485760 | Time: 81.9s
Seed 13079 | Epoch 45/760 | Avg R: 0.0019 | Val Loss: 0.0009 | KL: 0.0210 | LinErr: 1.025 | YawErr: 0.816 | |A|: 0.237 | R>0: 25.66% | Done: 3.31% | Sigma: 0.401 | Steps: 11796480 | Time: 89.9s
Seed 13079 | Epoch 50/760 | Avg R: 0.0021 | Val Loss: 0.0022 | KL: 0.0217 | LinErr: 1.010 | YawErr: 0.832 | |A|: 0.309 | R>0: 30.83% | Done: 2.31% | Sigma: 0.401 | Steps: 13107200 | Time: 97.8s
Seed 13079 | Epoch 55/760 | Avg R: 0.0009 | Val Loss: 0.0040 | KL: 0.0155 | LinErr: 1.203 | YawErr: 0.863 | |A|: 0.433 | R>0: 13.74% | Done: 2.15% | Sigma: 0.400 | Steps: 14417920 | Time: 106.8s
Seed 13079 | Epoch 60/760 | Avg R: 0.0008 | Val Loss: 0.0009 | KL: 0.0110 | LinErr: 1.207 | YawErr: 0.991 | |A|: 0.420 | R>0: 13.14% | Done: 4.97% | Sigma: 0.404 | Steps: 15728640 | Time: 118.2s
Seed 13079 | Epoch 65/760 | Avg R: 0.0013 | Val Loss: 0.0005 | KL: 0.0139 | LinErr: 1.154 | YawErr: 0.943 | |A|: 0.380 | R>0: 19.71% | Done: 3.59% | Sigma: 0.411 | Steps: 17039360 | Time: 130.0s
