--- Starting Multi-Seed Training for Seeds: [9018] ---

=======================================================
  Training Seed 9018 on Device: cuda
=======================================================
Seed 9018 | Epoch 05/1220 | Avg R: 0.0073 | Val Loss: 0.0018 | KL: 0.0059 | LinErr: 0.907 | YawErr: 0.691 | |A|: 0.114 | R>0: 77.19% | Done: 0.36% | Sigma: 0.373 | Steps: 819200 | Time: 65.1s
Seed 9018 | Epoch 10/1220 | Avg R: 0.0114 | Val Loss: 0.0011 | KL: 0.0069 | LinErr: 0.869 | YawErr: 0.629 | |A|: 0.116 | R>0: 96.06% | Done: 0.06% | Sigma: 0.368 | Steps: 1638400 | Time: 125.0s
Seed 9018 | Epoch 15/1220 | Avg R: 0.0136 | Val Loss: 0.0009 | KL: 0.0072 | LinErr: 0.845 | YawErr: 0.570 | |A|: 0.118 | R>0: 99.17% | Done: 0.01% | Sigma: 0.361 | Steps: 2457600 | Time: 184.6s
Seed 9018 | Epoch 20/1220 | Avg R: 0.0151 | Val Loss: 0.0008 | KL: 0.0084 | LinErr: 0.820 | YawErr: 0.520 | |A|: 0.121 | R>0: 99.64% | Done: 0.01% | Sigma: 0.353 | Steps: 3276800 | Time: 244.0s
Seed 9018 | Epoch 25/1220 | Avg R: 0.0160 | Val Loss: 0.0007 | KL: 0.0088 | LinErr: 0.802 | YawErr: 0.492 | |A|: 0.124 | R>0: 99.78% | Done: 0.00% | Sigma: 0.346 | Steps: 4096000 | Time: 304.3s
Seed 9018 | Epoch 30/1220 | Avg R: 0.0167 | Val Loss: 0.0007 | KL: 0.0098 | LinErr: 0.785 | YawErr: 0.475 | |A|: 0.129 | R>0: 99.87% | Done: 0.00% | Sigma: 0.339 | Steps: 4915200 | Time: 364.2s
Seed 9018 | Epoch 35/1220 | Avg R: 0.0174 | Val Loss: 0.0007 | KL: 0.0104 | LinErr: 0.767 | YawErr: 0.455 | |A|: 0.133 | R>0: 99.86% | Done: 0.00% | Sigma: 0.333 | Steps: 5734400 | Time: 424.2s
Seed 9018 | Epoch 40/1220 | Avg R: 0.0180 | Val Loss: 0.0006 | KL: 0.0111 | LinErr: 0.756 | YawErr: 0.445 | |A|: 0.139 | R>0: 99.88% | Done: 0.00% | Sigma: 0.327 | Steps: 6553600 | Time: 484.3s
Seed 9018 | Epoch 45/1220 | Avg R: 0.0183 | Val Loss: 0.0006 | KL: 0.0124 | LinErr: 0.756 | YawErr: 0.427 | |A|: 0.146 | R>0: 99.85% | Done: 0.00% | Sigma: 0.322 | Steps: 7372800 | Time: 544.4s
Seed 9018 | Epoch 50/1220 | Avg R: 0.0187 | Val Loss: 0.0006 | KL: 0.0124 | LinErr: 0.745 | YawErr: 0.419 | |A|: 0.153 | R>0: 99.84% | Done: 0.00% | Sigma: 0.318 | Steps: 8192000 | Time: 604.5s
Seed 9018 | Epoch 55/1220 | Avg R: 0.0156 | Val Loss: 0.0005 | KL: 0.0135 | LinErr: 0.861 | YawErr: 0.562 | |A|: 0.159 | R>0: 99.59% | Done: 0.00% | Sigma: 0.314 | Steps: 9011200 | Time: 664.6s
Seed 9018 | Epoch 60/1220 | Avg R: 0.0159 | Val Loss: 0.0005 | KL: 0.0154 | LinErr: 0.858 | YawErr: 0.553 | |A|: 0.173 | R>0: 99.50% | Done: 0.01% | Sigma: 0.310 | Steps: 9830400 | Time: 725.4s
Seed 9018 | Epoch 65/1220 | Avg R: 0.0166 | Val Loss: 0.0005 | KL: 0.0149 | LinErr: 0.838 | YawErr: 0.521 | |A|: 0.181 | R>0: 99.56% | Done: 0.00% | Sigma: 0.307 | Steps: 10649600 | Time: 785.9s
Seed 9018 | Epoch 70/1220 | Avg R: 0.0172 | Val Loss: 0.0006 | KL: 0.0166 | LinErr: 0.815 | YawErr: 0.512 | |A|: 0.186 | R>0: 99.51% | Done: 0.00% | Sigma: 0.304 | Steps: 11468800 | Time: 845.8s
Seed 9018 | Epoch 75/1220 | Avg R: 0.0178 | Val Loss: 0.0005 | KL: 0.0155 | LinErr: 0.798 | YawErr: 0.466 | |A|: 0.190 | R>0: 99.63% | Done: 0.00% | Sigma: 0.302 | Steps: 12288000 | Time: 906.2s
Seed 9018 | Epoch 80/1220 | Avg R: 0.0183 | Val Loss: 0.0006 | KL: 0.0146 | LinErr: 0.783 | YawErr: 0.450 | |A|: 0.193 | R>0: 99.57% | Done: 0.00% | Sigma: 0.300 | Steps: 13107200 | Time: 965.2s
Seed 9018 | Epoch 85/1220 | Avg R: 0.0187 | Val Loss: 0.0006 | KL: 0.0149 | LinErr: 0.767 | YawErr: 0.437 | |A|: 0.191 | R>0: 99.61% | Done: 0.00% | Sigma: 0.300 | Steps: 13926400 | Time: 1025.7s
Seed 9018 | Epoch 90/1220 | Avg R: 0.0192 | Val Loss: 0.0006 | KL: 0.0156 | LinErr: 0.755 | YawErr: 0.417 | |A|: 0.194 | R>0: 99.55% | Done: 0.00% | Sigma: 0.298 | Steps: 14745600 | Time: 1086.1s
Seed 9018 | Epoch 95/1220 | Avg R: 0.0192 | Val Loss: 0.0005 | KL: 0.0156 | LinErr: 0.755 | YawErr: 0.433 | |A|: 0.195 | R>0: 99.33% | Done: 0.00% | Sigma: 0.297 | Steps: 15564800 | Time: 1146.1s
Seed 9018 | Epoch 100/1220 | Avg R: 0.0195 | Val Loss: 0.0006 | KL: 0.0160 | LinErr: 0.742 | YawErr: 0.410 | |A|: 0.199 | R>0: 99.34% | Done: 0.00% | Sigma: 0.296 | Steps: 16384000 | Time: 1206.7s
Seed 9018 | Epoch 105/1220 | Avg R: 0.0160 | Val Loss: 0.0005 | KL: 0.0179 | LinErr: 0.859 | YawErr: 0.589 | |A|: 0.215 | R>0: 97.92% | Done: 0.01% | Sigma: 0.296 | Steps: 17203200 | Time: 1266.2s
Seed 9018 | Epoch 110/1220 | Avg R: 0.0163 | Val Loss: 0.0005 | KL: 0.0196 | LinErr: 0.857 | YawErr: 0.565 | |A|: 0.226 | R>0: 98.14% | Done: 0.01% | Sigma: 0.295 | Steps: 18022400 | Time: 1326.6s
Seed 9018 | Epoch 115/1220 | Avg R: 0.0170 | Val Loss: 0.0005 | KL: 0.0169 | LinErr: 0.836 | YawErr: 0.526 | |A|: 0.227 | R>0: 98.46% | Done: 0.00% | Sigma: 0.295 | Steps: 18841600 | Time: 1387.1s
Seed 9018 | Epoch 120/1220 | Avg R: 0.0174 | Val Loss: 0.0005 | KL: 0.0187 | LinErr: 0.813 | YawErr: 0.511 | |A|: 0.237 | R>0: 98.30% | Done: 0.00% | Sigma: 0.294 | Steps: 19660800 | Time: 1447.7s
Seed 9018 | Epoch 125/1220 | Avg R: 0.0180 | Val Loss: 0.0005 | KL: 0.0178 | LinErr: 0.796 | YawErr: 0.468 | |A|: 0.234 | R>0: 98.40% | Done: 0.00% | Sigma: 0.293 | Steps: 20480000 | Time: 1507.9s
Seed 9018 | Epoch 130/1220 | Avg R: 0.0184 | Val Loss: 0.0005 | KL: 0.0184 | LinErr: 0.780 | YawErr: 0.443 | |A|: 0.238 | R>0: 98.53% | Done: 0.00% | Sigma: 0.294 | Steps: 21299200 | Time: 1568.5s
